game_name,type,aspect,mentions,sentiment_percentage
007 First Light,advantage,Graphics,6,100.0
007 First Light,advantage,Difficulty,5,100.0
007 First Light,advantage,Level Design,9,100.0
007 First Light,advantage,Performance,11,100.0
007 First Light,advantage,Gameplay,44,97.73
007 First Light,advantage,Story,44,97.73
007 First Light,advantage,Characters,28,92.86
1000xRESIST,advantage,Story,20,90.0
1000xRESIST,advantage,Gameplay,8,87.5
1000xRESIST,advantage,Characters,4,75.0
13 Sentinels Aegis Rim,advantage,Level Design,3,100.0
13 Sentinels Aegis Rim,advantage,Characters,12,100.0
13 Sentinels Aegis Rim,advantage,Story,77,94.81
13 Sentinels Aegis Rim,advantage,Graphics,29,89.66
13 Sentinels Aegis Rim,advantage,Gameplay,43,86.05
13 Sentinels Aegis Rim,advantage,Difficulty,9,77.78
2XKO,advantage,Gameplay,4,100.0
30 Birds,advantage,Story,3,100.0
30XX,advantage,Gameplay,11,100.0
30XX,advantage,Graphics,3,100.0
30XX,advantage,Level Design,8,100.0
30XX,advantage,Difficulty,7,100.0
30XX,advantage,Replayability,6,100.0
428: Shibuya Scramble,advantage,Characters,8,87.5
428: Shibuya Scramble,advantage,Story,11,81.82
428: Shibuya Scramble,advantage,Graphics,16,81.25
6180 The Moon,advantage,Gameplay,4,75.0
6180 The Moon,advantage,Difficulty,3,66.67
8-Bit Adventures 2,advantage,Gameplay,7,100.0
8-Bit Adventures 2,advantage,Story,7,100.0
8-Bit Adventures 2,advantage,Difficulty,4,75.0
A Monster's Expedition,advantage,Level Design,4,100.0
A Monster's Expedition,advantage,Difficulty,5,80.0
A Monster's Expedition,advantage,Gameplay,4,75.0
A Plague Tale: Innocence,advantage,Graphics,11,100.0
A Plague Tale: Innocence,advantage,Difficulty,12,91.67
A Plague Tale: Innocence,advantage,Music & Sound,6,83.33
A Plague Tale: Innocence,advantage,Story,90,78.89
A Plague Tale: Innocence,advantage,Gameplay,58,74.14
A Plague Tale: Innocence,advantage,Characters,32,71.88
A Plague Tale: Requiem,advantage,Difficulty,9,88.89
A Plague Tale: Requiem,advantage,Characters,38,86.84
A Plague Tale: Requiem,advantage,Graphics,22,86.36
A Plague Tale: Requiem,advantage,Music & Sound,7,85.71
A Plague Tale: Requiem,advantage,Story,75,81.33
A Plague Tale: Requiem,advantage,Gameplay,57,70.18
A Plague Tale: Requiem,advantage,Performance,21,61.9
A Short Hike,advantage,Characters,9,100.0
A Short Hike,advantage,Gameplay,9,88.89
A Short Hike,advantage,Story,4,75.0
A Space for the Unbound,advantage,Graphics,9,100.0
A Space for the Unbound,advantage,Music & Sound,6,100.0
A Space for the Unbound,advantage,Characters,10,100.0
A Space for the Unbound,advantage,Difficulty,7,100.0
A Space for the Unbound,advantage,Replayability,3,100.0
A Space for the Unbound,advantage,Gameplay,13,92.31
A Space for the Unbound,advantage,Story,36,91.67
AI: THE SOMNIUM FILES - nirvanA Initiative,advantage,Gameplay,11,100.0
AI: THE SOMNIUM FILES - nirvanA Initiative,advantage,Difficulty,6,100.0
AI: THE SOMNIUM FILES - nirvanA Initiative,advantage,Music & Sound,4,100.0
AI: THE SOMNIUM FILES - nirvanA Initiative,advantage,Characters,30,93.33
AI: THE SOMNIUM FILES - nirvanA Initiative,advantage,Story,35,88.57
AI: THE SOMNIUM FILES - nirvanA Initiative,advantage,Graphics,16,87.5
AI: The Somnium Files,advantage,Gameplay,5,100.0
AI: The Somnium Files,advantage,Graphics,10,90.0
AI: The Somnium Files,advantage,Story,25,84.0
AI: The Somnium Files,advantage,Characters,11,81.82
ANONYMOUS;CODE,advantage,Gameplay,3,100.0
ANONYMOUS;CODE,advantage,Story,20,85.0
ANONYMOUS;CODE,advantage,Characters,6,83.33
ANONYMOUS;CODE,advantage,Graphics,17,70.59
ANONYMOUS;CODE,advantage,Level Design,3,66.67
ANTONBLAST,advantage,Graphics,8,100.0
ANTONBLAST,advantage,Difficulty,7,100.0
ANTONBLAST,advantage,Gameplay,18,94.44
ANTONBLAST,advantage,Level Design,11,90.91
ANTONBLAST,advantage,Characters,4,75.0
ANTONBLAST,advantage,Performance,4,75.0
ANTONBLAST,disadvantage,Characters,4,25.0
APE OUT,advantage,Difficulty,14,92.86
APE OUT,advantage,Music & Sound,23,91.3
APE OUT,advantage,Graphics,9,88.89
APE OUT,advantage,Gameplay,21,85.71
APE OUT,advantage,Level Design,6,66.67
APE OUT,advantage,Replayability,3,66.67
APICO,advantage,Gameplay,4,75.0
ARC Raiders,advantage,Story,5,100.0
ARC Raiders,advantage,Graphics,8,100.0
ARC Raiders,advantage,Level Design,5,100.0
ARC Raiders,advantage,Music & Sound,10,100.0
ARC Raiders,advantage,Difficulty,8,87.5
ARC Raiders,advantage,Replayability,7,85.71
ARC Raiders,advantage,Gameplay,28,82.14
ASTLIBRA Gaiden: The Cave of Phantom Mist,advantage,Story,3,66.67
ASTLIBRA Revision,advantage,Difficulty,3,100.0
ASTLIBRA Revision,advantage,Music & Sound,4,100.0
ASTLIBRA Revision,advantage,Story,14,78.57
ASTLIBRA Revision,advantage,Gameplay,13,76.92
ASTLIBRA Revision,advantage,Graphics,3,66.67
Aaero: Complete Edition,advantage,Graphics,3,100.0
Aaero: Complete Edition,advantage,Music & Sound,4,100.0
Abiotic Factor,advantage,Gameplay,3,100.0
Absolum,advantage,Graphics,12,100.0
Absolum,advantage,Performance,3,100.0
Absolum,advantage,Replayability,9,100.0
Absolum,advantage,Music & Sound,7,100.0
Absolum,advantage,Characters,16,93.75
Absolum,advantage,Difficulty,14,92.86
Absolum,advantage,Gameplay,48,89.58
Absolum,advantage,Level Design,7,85.71
Absolum,advantage,Story,14,85.71
Ace Attorney Investigations Collection,advantage,Graphics,22,100.0
Ace Attorney Investigations Collection,advantage,Difficulty,7,100.0
Ace Attorney Investigations Collection,advantage,Music & Sound,7,100.0
Ace Attorney Investigations Collection,advantage,Replayability,4,100.0
Ace Attorney Investigations Collection,advantage,Story,12,91.67
Ace Attorney Investigations Collection,advantage,Characters,17,82.35
Ace Attorney Investigations Collection,advantage,Gameplay,14,78.57
Ace Combat 7: Skies Unknown,advantage,Performance,3,100.0
Ace Combat 7: Skies Unknown,advantage,Replayability,9,100.0
Ace Combat 7: Skies Unknown,advantage,Music & Sound,7,85.71
Ace Combat 7: Skies Unknown,advantage,Level Design,11,81.82
Ace Combat 7: Skies Unknown,advantage,Gameplay,114,72.81
Ace Combat 7: Skies Unknown,advantage,Characters,3,66.67
Aces & Adventures,advantage,Gameplay,3,100.0
Advance Wars 1+2: Re-Boot Camp,advantage,Music & Sound,3,100.0
Advance Wars 1+2: Re-Boot Camp,advantage,Level Design,7,100.0
Advance Wars 1+2: Re-Boot Camp,advantage,Gameplay,26,88.46
Advance Wars 1+2: Re-Boot Camp,advantage,Graphics,15,86.67
Advance Wars 1+2: Re-Boot Camp,advantage,Replayability,9,77.78
Advance Wars 1+2: Re-Boot Camp,advantage,Difficulty,15,73.33
Advance Wars 1+2: Re-Boot Camp,advantage,Story,3,66.67
Advance Wars 1+2: Re-Boot Camp,advantage,Characters,5,60.0
Aether & Iron,advantage,Characters,5,100.0
Aether & Iron,advantage,Gameplay,12,91.67
Aether & Iron,advantage,Difficulty,4,75.0
Aether & Iron,advantage,Performance,4,75.0
Aether & Iron,advantage,Story,15,66.67
Against The Storm,advantage,Gameplay,9,88.89
Against The Storm,advantage,Replayability,5,80.0
Age of Empires II: Definitive Edition,advantage,Difficulty,5,100.0
Age of Empires II: Definitive Edition,advantage,Performance,4,100.0
Age of Empires II: Definitive Edition,advantage,Gameplay,11,90.91
Age of Empires II: Definitive Edition,advantage,Replayability,9,88.89
Age of Empires II: Definitive Edition,advantage,Graphics,8,87.5
Age of Empires IV,advantage,Story,5,100.0
Age of Empires IV,advantage,Graphics,3,100.0
Age of Empires IV,advantage,Replayability,8,87.5
Age of Empires IV,advantage,Difficulty,12,75.0
Age of Empires IV,advantage,Performance,3,66.67
Age of Mythology: Retold,advantage,Performance,7,100.0
Age of Mythology: Retold,advantage,Gameplay,22,86.36
Age of Mythology: Retold,advantage,Difficulty,7,85.71
Age of Mythology: Retold,advantage,Replayability,11,81.82
Age of Mythology: Retold,advantage,Graphics,15,80.0
Age of Mythology: Retold,advantage,Music & Sound,4,75.0
Age of Mythology: Retold,advantage,Level Design,3,66.67
Age of Mythology: Retold,disadvantage,Level Design,3,33.33
Age of Mythology: Retold,disadvantage,Music & Sound,4,25.0
Age of Wonders 4,advantage,Performance,3,100.0
Age of Wonders 4,advantage,Gameplay,7,85.71
Age of Wonders 4,advantage,Replayability,5,80.0
Age of Wonders III,advantage,Gameplay,6,83.33
Age of Wonders: Planetfall,advantage,Difficulty,4,100.0
Age of Wonders: Planetfall,advantage,Replayability,5,80.0
Age of Wonders: Planetfall,advantage,Gameplay,13,76.92
Agent A: A Puzzle in Disguise,advantage,Difficulty,3,100.0
Alaloth: Champions of The Four Kingdoms,advantage,Gameplay,4,100.0
Alaloth: Champions of The Four Kingdoms,advantage,Difficulty,3,100.0
Alan Wake 2,advantage,Difficulty,11,100.0
Alan Wake 2,advantage,Story,70,92.86
Alan Wake 2,advantage,Characters,14,92.86
Alan Wake 2,advantage,Level Design,13,92.31
Alan Wake 2,advantage,Graphics,24,91.67
Alan Wake 2,advantage,Gameplay,49,87.76
Alan Wake 2,advantage,Music & Sound,13,84.62
Alan Wake 2,advantage,Performance,18,83.33
Alan Wake 2: Night Springs,advantage,Replayability,5,100.0
Alan Wake 2: Night Springs,advantage,Gameplay,7,85.71
Alan Wake 2: Night Springs,advantage,Story,7,85.71
Alan Wake 2: Night Springs,advantage,Characters,5,80.0
Alan Wake Remastered,advantage,Story,33,81.82
Alan Wake Remastered,advantage,Gameplay,32,81.25
Alan Wake Remastered,advantage,Graphics,21,80.95
Alan Wake Remastered,advantage,Characters,5,80.0
Alan Wake Remastered,advantage,Performance,8,62.5
Alba: A Wildlife Adventure,advantage,Characters,5,100.0
Alba: A Wildlife Adventure,advantage,Story,10,80.0
Alba: A Wildlife Adventure,advantage,Gameplay,9,77.78
Alien: Isolation,advantage,Characters,3,100.0
Alien: Isolation,advantage,Graphics,5,100.0
Alien: Isolation,advantage,Level Design,7,100.0
Alien: Isolation,advantage,Gameplay,12,91.67
Alien: Isolation,advantage,Music & Sound,7,85.71
Alien: Isolation,advantage,Performance,8,75.0
Alien: Isolation,advantage,Story,9,66.67
Alien: Isolation,advantage,Difficulty,9,66.67
Alisa Developer's Cut,advantage,Gameplay,8,75.0
Alisa Developer's Cut,disadvantage,Story,3,33.33
Altdeus: Beyond Chronos,advantage,Characters,8,75.0
Altdeus: Beyond Chronos,advantage,Story,15,73.33
Altdeus: Beyond Chronos,advantage,Graphics,14,64.29
Amid Evil,advantage,Performance,6,100.0
Among Us VR,advantage,Gameplay,3,100.0
Angeline Era,advantage,Gameplay,3,100.0
Angeline Era,advantage,Story,3,100.0
Angry Video Game Nerd 8-bit,advantage,Gameplay,5,100.0
Angry Video Game Nerd 8-bit,advantage,Level Design,3,100.0
Angry Video Game Nerd 8-bit,advantage,Difficulty,3,66.67
Animal Crossing: New Horizons,advantage,Gameplay,11,100.0
Animal Crossing: New Horizons,advantage,Graphics,5,100.0
Animal Crossing: New Horizons,advantage,Level Design,6,100.0
Animal Crossing: New Horizons,advantage,Difficulty,3,100.0
Animal Crossing: New Horizons,advantage,Replayability,8,87.5
Animal Crossing: New Horizons,advantage,Characters,3,66.67
Animal Well,advantage,Graphics,7,100.0
Animal Well,advantage,Music & Sound,4,100.0
Animal Well,advantage,Level Design,4,100.0
Animal Well,advantage,Difficulty,7,100.0
Animal Well,advantage,Gameplay,18,94.44
Anno 117: Pax Romana,advantage,Story,6,100.0
Anno 117: Pax Romana,advantage,Characters,3,100.0
Anno 117: Pax Romana,advantage,Replayability,4,100.0
Anno 117: Pax Romana,advantage,Gameplay,28,89.29
Anno 117: Pax Romana,advantage,Difficulty,12,83.33
Anno 117: Pax Romana,advantage,Graphics,12,75.0
Anno 1800,advantage,Graphics,3,100.0
Anno 1800,advantage,Music & Sound,5,100.0
Anno 1800,advantage,Gameplay,15,86.67
Anomaly Agent,advantage,Graphics,3,100.0
Anomaly Agent,advantage,Music & Sound,6,100.0
Anomaly Agent,advantage,Characters,3,100.0
Anomaly Agent,advantage,Story,6,83.33
Anomaly Agent,advantage,Gameplay,11,81.82
Apex Legends,advantage,Replayability,4,100.0
Apex Legends,advantage,Gameplay,18,72.22
Apex Legends,advantage,Characters,10,70.0
Apex Legends,advantage,Story,3,66.67
Apex Legends,advantage,Level Design,5,60.0
Apex Legends,advantage,Difficulty,5,60.0
Apex Legends,disadvantage,Graphics,4,50.0
Apex Legends,disadvantage,Performance,13,38.46
Apex Legends,disadvantage,Difficulty,5,20.0
Apollo Justice: Ace Attorney Trilogy,advantage,Gameplay,9,100.0
Apollo Justice: Ace Attorney Trilogy,advantage,Story,19,100.0
Apollo Justice: Ace Attorney Trilogy,advantage,Music & Sound,4,100.0
Apollo Justice: Ace Attorney Trilogy,advantage,Level Design,3,100.0
Apollo Justice: Ace Attorney Trilogy,advantage,Difficulty,5,100.0
Apollo Justice: Ace Attorney Trilogy,advantage,Replayability,11,100.0
Apollo Justice: Ace Attorney Trilogy,advantage,Characters,10,90.0
Apollo Justice: Ace Attorney Trilogy,advantage,Graphics,16,87.5
Arcade Spirits: The New Challengers,advantage,Story,4,100.0
Arcade Spirits: The New Challengers,advantage,Graphics,6,100.0
Arcade Spirits: The New Challengers,advantage,Characters,6,100.0
ArcheAge,advantage,Gameplay,3,100.0
Archvale,advantage,Gameplay,5,80.0
Arco,advantage,Gameplay,6,100.0
Arco,advantage,Story,6,100.0
Arco,advantage,Difficulty,7,85.71
Arise: A simple story,advantage,Replayability,3,100.0
Arise: A simple story,advantage,Difficulty,7,100.0
Arise: A simple story,advantage,Characters,3,100.0
Arise: A simple story,advantage,Graphics,12,91.67
Arise: A simple story,advantage,Story,55,83.64
Arise: A simple story,advantage,Music & Sound,8,75.0
Arise: A simple story,advantage,Gameplay,30,70.0
Armored Core VI: Fires of Rubicon,advantage,Replayability,4,100.0
Armored Core VI: Fires of Rubicon,advantage,Gameplay,56,91.07
Armored Core VI: Fires of Rubicon,advantage,Difficulty,42,90.48
Armored Core VI: Fires of Rubicon,advantage,Story,32,87.5
Armored Core VI: Fires of Rubicon,advantage,Graphics,5,80.0
Armored Core VI: Fires of Rubicon,advantage,Performance,5,80.0
Armored Core VI: Fires of Rubicon,advantage,Level Design,11,72.73
Armored Core VI: Fires of Rubicon,disadvantage,Characters,3,33.33
Arranger: A Role-Puzzling Adventure,advantage,Characters,3,100.0
Arranger: A Role-Puzzling Adventure,advantage,Graphics,3,100.0
Arranger: A Role-Puzzling Adventure,advantage,Gameplay,11,90.91
Arranger: A Role-Puzzling Adventure,advantage,Story,14,85.71
Arranger: A Role-Puzzling Adventure,advantage,Level Design,4,75.0
Arranger: A Role-Puzzling Adventure,advantage,Difficulty,4,75.0
Asgard's Wrath 2,advantage,Gameplay,4,100.0
Asgard's Wrath 2,advantage,Story,3,100.0
Asgard's Wrath 2,advantage,Replayability,4,100.0
Ash of Gods: The Way,advantage,Story,6,100.0
Ash of Gods: The Way,advantage,Gameplay,5,80.0
Ashen,advantage,Graphics,4,100.0
Ashen,advantage,Story,5,80.0
Ashen,advantage,Difficulty,13,69.23
Ashen,advantage,Gameplay,12,66.67
Assassin's Creed IV: Black Flag,advantage,Story,7,100.0
Assassin's Creed IV: Black Flag,advantage,Graphics,3,100.0
Assassin's Creed IV: Black Flag,advantage,Replayability,3,100.0
Assassin's Creed IV: Black Flag,advantage,Characters,4,75.0
Assassin's Creed IV: Black Flag,advantage,Difficulty,3,66.67
Assassin's Creed IV: Black Flag,advantage,Gameplay,11,63.64
Assassin's Creed Nexus,advantage,Story,3,100.0
Assassin's Creed Nexus,advantage,Graphics,3,100.0
Assassin's Creed Nexus,advantage,Gameplay,10,80.0
Assassin's Creed Nexus,advantage,Characters,4,75.0
Assassin's Creed Odyssey,advantage,Performance,3,100.0
Assassin's Creed Odyssey,advantage,Difficulty,9,88.89
Assassin's Creed Odyssey,advantage,Story,40,82.5
Assassin's Creed Odyssey,advantage,Characters,16,81.25
Assassin's Creed Odyssey,advantage,Level Design,9,77.78
Assassin's Creed Odyssey,advantage,Gameplay,47,76.6
Assassin's Creed Odyssey,advantage,Replayability,12,75.0
Assassin's Creed Origins,advantage,Characters,15,100.0
Assassin's Creed Origins,advantage,Difficulty,8,100.0
Assassin's Creed Origins,advantage,Gameplay,51,92.16
Assassin's Creed Origins,advantage,Graphics,10,80.0
Assassin's Creed Origins,advantage,Story,33,75.76
Assassin's Creed Origins,advantage,Level Design,13,69.23
Assassin's Creed Origins,advantage,Performance,9,66.67
Assassin's Creed Origins,advantage,Replayability,6,66.67
Assassin's Creed Origins: The Curse of the Pharaohs,advantage,Level Design,3,100.0
Assassin's Creed Origins: The Curse of the Pharaohs,advantage,Replayability,3,100.0
Assassin's Creed Shadows,advantage,Characters,38,78.95
Assassin's Creed Shadows,advantage,Replayability,13,76.92
Assassin's Creed Shadows,advantage,Performance,16,75.0
Assassin's Creed Shadows,advantage,Gameplay,109,70.64
Assassin's Creed Shadows,advantage,Level Design,18,66.67
Assassin's Creed Shadows,advantage,Music & Sound,6,66.67
Assassin's Creed Shadows,advantage,Difficulty,13,61.54
Assassin's Creed Shadows,advantage,Story,64,60.94
Assassin's Creed Shadows,advantage,Graphics,20,60.0
Assassin's Creed Valhalla,advantage,Level Design,9,88.89
Assassin's Creed Valhalla,advantage,Performance,24,87.5
Assassin's Creed Valhalla,advantage,Replayability,20,80.0
Assassin's Creed Valhalla,advantage,Characters,22,77.27
Assassin's Creed Valhalla,advantage,Gameplay,65,76.92
